,edition,ruling,number_ruling,lie
11649,Ohio,Half-True,2,0
11650,Arizona,Mostly False,3,1
11656,California,Pants on Fire!,5,1
11658,Florida,True,0,0
11660,New Hampshire,Pants on Fire!,5,1
11662,Florida,Mostly True,1,0
11666,Wisconsin,Mostly False,3,1
11668,North Carolina,Mostly True,1,0
11669,Pennsylvania,True,0,0
11671,Arizona,Mostly True,1,0
11672,Ohio,True,0,0
11673,New Hampshire,Mostly True,1,0
11675,New Hampshire,Mostly True,1,0
11676,Texas,False,4,1
11677,Texas,Half-True,2,0
11678,North Carolina,True,0,0
11681,Virginia,True,0,0
11682,Missouri,Half-True,2,0
11685,Wisconsin,Half-True,2,0
11686,California,False,4,1
11687,Florida,Half-True,2,0
11688,Florida,Mostly False,3,1
11689,California,Mostly True,1,0
11691,Nevada,Half-True,2,0
11692,Texas,Mostly True,1,0
11693,Colorado,Mostly True,1,0
11695,California,Half-True,2,0
11696,North Carolina,Pants on Fire!,5,1
11698,Florida,Half-True,2,0
11700,Wisconsin,Half-True,2,0
11701,Missouri,True,0,0
11704,Rhode Island,Mostly True,1,0
11705,Ohio,True,0,0
11706,Pennsylvania,Half-True,2,0
11707,Texas,False,4,1
11708,Texas,Pants on Fire!,5,1
11711,Virginia,True,0,0
11712,Virginia,Half-True,2,0
11713,Missouri,False,4,1
11714,Florida,Mostly False,3,1
11716,Wisconsin,False,4,1
11717,Georgia,True,0,0
11718,Arizona,Mostly False,3,1
11719,California,False,4,1
11720,California,Half-True,2,0
11721,Pennsylvania,Half-True,2,0
11722,Florida,False,4,1
11725,Texas,Mostly True,1,0
11726,Virginia,True,0,0
11729,Texas,True,0,0
11730,Arizona,Pants on Fire!,5,1
11731,Ohio,False,4,1
11732,Wisconsin,Pants on Fire!,5,1
11733,Nevada,Half-True,2,0
11734,North Carolina,Half-True,2,0
11735,Virginia,Mostly True,1,0
11736,Virginia,True,0,0
11737,Pennsylvania,Half-True,2,0
11738,Florida,Mostly True,1,0
11742,California,Mostly False,3,1
11746,Wisconsin,Pants on Fire!,5,1
11747,Florida,Mostly False,3,1
11748,North Carolina,False,4,1
11749,Missouri,Mostly True,1,0
11750,Wisconsin,True,0,0
11751,Ohio,Half-True,2,0
11752,Colorado,Mostly False,3,1
11756,Nevada,False,4,1
11759,Florida,Half-True,2,0
