,edition,ruling,number_ruling,lie
12783,Texas,Mostly False,3,1
12784,Texas,Mostly False,3,1
12785,Texas,False,4,1
12786,Virginia,False,4,1
12789,New Hampshire,Pants on Fire!,5,1
12790,California,Pants on Fire!,5,1
12791,Florida,Mostly True,1,0
12793,Virginia,Pants on Fire!,5,1
12794,Wisconsin,Pants on Fire!,5,1
12798,Wisconsin,Mostly False,3,1
12799,Georgia,True,0,0
12800,Texas,Mostly True,1,0
12801,Illinois,Mostly True,1,0
12802,New York,True,0,0
12803,California,Half-True,2,0
12804,Florida,Mostly False,3,1
12805,Texas,Pants on Fire!,5,1
12809,Virginia,Mostly False,3,1
12810,Texas,Mostly False,3,1
12811,Texas,False,4,1
12812,Wisconsin,False,4,1
12813,Texas,True,0,0
12817,Texas,Half-True,2,0
12818,Wisconsin,True,0,0
12819,New York,Half-True,2,0
12820,Wisconsin,Pants on Fire!,5,1
12821,Wisconsin,Mostly True,1,0
12822,Wisconsin,True,0,0
12824,Virginia,True,0,0
12825,Florida,Half-True,2,0
12828,California,Mostly True,1,0
12832,New York,Mostly False,3,1
12834,Illinois,Mostly True,1,0
12836,Wisconsin,Mostly True,1,0
12838,New York,Half-True,2,0
12841,New York,Pants on Fire!,5,1
12843,Texas,True,0,0
12845,Virginia,Mostly True,1,0
12846,California,Mostly True,1,0
12847,Missouri,Mostly False,3,1
